word,participant,duration,n_samples,mean_amplitude,std_amplitude,max_amplitude,min_amplitude,avg_quality
دواء,par.10,10.767299890518188,1380,4319.164780646687,25.985837627023045,4607.563965,4154.615234,4.0
دواء,par.11,10.806339025497437,1385,4303.027334713925,25.981766046842715,4687.692383,4120.0,4.0
دواء,par.12,10.76730489730835,1380,4316.9791745638195,65.95178762469872,4607.563965,3974.102539,4.0
عطش,par.1,11.048431873321533,1416,4264.203996069865,22.31862477720796,4767.436035,3983.461426,3.857142857142857
عطش,par.10,10.923463106155396,1400,4321.389143266174,26.476233335541497,4579.102539,4151.410156,4.0
عطش,par.11,10.798530101776123,1384,4281.484237827053,46.92293984558359,4616.666504,4027.94873,4.0
عطش,par.12,10.712652206420898,1373,4322.083869128238,23.701764964640848,4606.410156,4151.922852,4.0
عطش,par.13,10.829769134521484,1388,4311.740878797498,26.319787383115962,4704.743652,3940.384521,4.0
لا,par.1,11.774582862854004,1509,4268.269212735729,14.719394368438586,4704.487305,4082.435791,3.857142857142857
لا,par.10,10.767299175262451,1380,4321.001851072878,25.914201780582584,4621.025879,4035.384521,4.0
لا,par.11,10.782914161682129,1382,4306.486749720437,26.325925386463517,4648.717773,4066.538574,4.0
لا,par.12,10.720458030700684,1374,4321.883706514556,27.724661579621976,4591.666504,4116.282227,4.0
لا,par.13,10.798535823822021,1384,4316.931201309041,24.98771918604732,4640.384766,4156.794922,4.0
مسافة,par.1,11.149937152862549,1429,4260.865842949415,65.44277954238446,4759.230957,3781.538574,3.857142857142857
مسافة,par.10,10.790721893310547,1383,4302.441083051029,20.674212430072338,4593.077148,4129.358887,4.0
مسافة,par.11,10.915656089782715,1399,4330.802948076279,32.70391430099284,4595.641113,3848.076904,4.0
مسافة,par.12,10.743872880935669,1377,4320.085244260763,61.178056185809794,4663.205078,3660.769287,4.0
مسافة,par.13,10.946892023086548,1403,4299.711802622594,47.48246014623704,4867.05127,3768.589844,4.0
نعم,par.1,11.274865865707397,1445,4263.995190130449,17.9324807014166,4756.538574,4071.666748,4.0
نعم,par.10,10.782896041870117,1382,4299.093744307267,25.842474922795418,4743.461426,4056.410156,4.0
نعم,par.11,10.845377922058105,1390,4306.813702059867,28.689441107911176,4626.922852,4128.333496,4.0
نعم,par.12,10.743879079818726,1377,4327.342454083567,109.97504507408493,5323.077148,3293.846191,4.0
نعم,par.13,10.759486198425293,1379,4326.092199718895,47.87793861839861,4731.538574,4058.846191,4.0
يسار,par.1,12.032249927520752,1542,4264.610650397118,17.06354225891171,4738.205078,4071.794922,4.0
يسار,par.10,10.775083065032959,1381,4300.254778107013,20.833339932485583,4606.153809,4117.820313,4.0
يسار,par.11,10.884422063827515,1395,4307.911549652228,23.068300042801063,4625.0,4088.846191,4.0
يسار,par.12,10.821956872940063,1387,4328.846113326758,44.11042672781705,4820.641113,3945.512939,4.0
يسار,par.13,10.720438957214355,1374,4320.237613985392,117.08427846928372,4704.871582,3751.538574,4.0
يمين,par.1,11.415410995483398,1463,4268.279854709403,16.02070913801373,4725.512695,4068.076904,4.0
يمين,par.10,10.7672860622406,1380,4330.193064993634,46.4481031086097,4814.743652,4156.794922,4.0
يمين,par.11,10.7828950881958,1382,4299.525076678985,21.140750668045918,4615.897461,4113.461426,4.0
يمين,par.12,10.736064910888672,1376,4312.874840543241,23.561702645552284,4623.589844,4143.077148,4.0
يمين,par.13,10.291009902954102,1319,4329.267906494098,50.68991051324531,4768.974121,3902.179443,4.0
